id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
10122,,,1,,007.qq.com,2,007.qq.com,119.147.14.86,,,,,OK,,,,,,,,ksubdomain
11040,,,1,,020.qq.com,2,singlecity.qq.com,0.0.0.1,,,,,OK,,,,,,,,ksubdomain
343,,,1,http://021.qq.com,021.qq.com,1,021.qq.com,0.0.0.1,0,0,80,,OK,,,0.0.0.0/8,AS-,-,内网IP,内网IP,HackerTargetQuery
525,,,1,http://03.qq.com,03.qq.com,1,03.qq.com,0.0.0.1,0,0,80,,OK,,,0.0.0.0/8,AS-,-,内网IP,内网IP,HackerTargetQuery
11213,,,1,,0898.qq.com,2,singlecity.qq.com,0.0.0.1,,,,,OK,,,,,,,,ksubdomain
12518,,,1,http://0swallow.ke.qq.com,0swallow.ke.qq.com,2,0swallow.ke.qq.com,120.233.17.200,1,0,80,,OK,,,120.233.0.0/16,AS56040,China Mobile Communications Corporation,中国广东省,移动,Altdns
581,,,1,http://1.qq.com,1.qq.com,1,1.qq.com,121.51.77.139,1,0,80,,OK,,,121.51.64.0/18,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国上海上海市,电信,HackerTargetQuery
386,,,1,http://100.qq.com,100.qq.com,1,100.qq.com,0.0.0.1,0,0,80,,OK,,,0.0.0.0/8,AS-,-,内网IP,内网IP,HackerTargetQuery
431,,,1,http://1000.qq.com,1000.qq.com,1,1000.qq.com,0.0.0.1,0,0,80,,OK,,,0.0.0.0/8,AS-,-,内网IP,内网IP,HackerTargetQuery
8370,,,1,http://100002007.qzone.qq.com,100002007.qzone.qq.com,2,100002007.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
9302,,,1,http://100013003.qzone.qq.com,100013003.qzone.qq.com,2,100013003.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
6322,,,1,http://100077452.qzone.qq.com,100077452.qzone.qq.com,2,100077452.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
845,,,1,http://1001.qq.com,1001.qq.com,1,1001.qq.com.sched.p2.tdnsv6.com,203.205.137.78,1,0,80,,OK,,,203.205.136.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,AlienVaultQuery
5823,,,1,http://1002411127.qzone.qq.com,1002411127.qzone.qq.com,2,1002411127.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
12692,,,1,http://1002431127.qzone.qq.com,1002431127.qzone.qq.com,2,1002431127.qzone.qq.com,182.254.50.155,1,0,80,,OK,,,182.254.50.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国天津天津市,电信,Altdns
7447,,,1,http://1002860426.qzone.qq.com,1002860426.qzone.qq.com,2,1002860426.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
6300,,,1,http://1003778791.qzone.qq.com,1003778791.qzone.qq.com,2,1003778791.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
5969,,,1,http://1003923271.qzone.qq.com,1003923271.qzone.qq.com,2,1003923271.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
4192,,,1,http://1003974000.qzone.qq.com,1003974000.qzone.qq.com,2,1003974000.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
8884,,,1,http://1004666031.qzone.qq.com,1004666031.qzone.qq.com,2,1004666031.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
7754,,,1,http://1004917276.qzone.qq.com,1004917276.qzone.qq.com,2,1004917276.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
5502,,,1,http://1005432870.qzone.qq.com,1005432870.qzone.qq.com,2,1005432870.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
3459,,,1,http://1005732796.qzone.qq.com,1005732796.qzone.qq.com,2,1005732796.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
7048,,,1,http://1005738204.qzone.qq.com,1005738204.qzone.qq.com,2,1005738204.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
4103,,,1,http://100601036.qzone.qq.com,100601036.qzone.qq.com,2,100601036.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
6028,,,1,http://1006069182.qzone.qq.com,1006069182.qzone.qq.com,2,1006069182.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
8602,,,1,http://1006187420.qzone.qq.com,1006187420.qzone.qq.com,2,1006187420.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
5470,,,1,http://1006562057.qzone.qq.com,1006562057.qzone.qq.com,2,1006562057.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
4351,,,1,http://1006647618.qzone.qq.com,1006647618.qzone.qq.com,2,1006647618.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
4702,,,1,http://1007354260.qzone.qq.com,1007354260.qzone.qq.com,2,1007354260.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
5485,,,1,http://100751075.qzone.qq.com,100751075.qzone.qq.com,2,100751075.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
3289,,,1,http://1007677.qzone.qq.com,1007677.qzone.qq.com,2,1007677.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
4626,,,1,http://1009347105.qzone.qq.com,1009347105.qzone.qq.com,2,1009347105.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
9422,,,1,http://1009383994.qzone.qq.com,1009383994.qzone.qq.com,2,1009383994.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
8425,,,1,http://1009433400.qzone.qq.com,1009433400.qzone.qq.com,2,1009433400.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
21,,,1,http://101.qq.com,101.qq.com,1,"101.qq.com.sched.px.tdnsv6.com,101.qq.com.sched.px.tdnsv6.com","203.205.136.84,203.205.136.160","1,1",0,80,,OK,,,"203.205.136.0/23,203.205.136.0/23","AS132203,AS132203","Tencent Building Kejizhongyi Avenue,Tencent Building Kejizhongyi Avenue","中国香港,中国香港","腾讯,腾讯",ChinazQuery
26298,,,1,http://1010.qq.com,1010.qq.com,1,1010.qq.com.x2.sched.dcloudstc.com,203.205.234.24,1,0,80,,OK,,,203.205.234.0/23,AS132203,Tencent Building Kejizhongyi Avenue,新加坡,腾讯,Altdns
5361,,,1,http://1010357063.qzone.qq.com,1010357063.qzone.qq.com,2,1010357063.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
4480,,,1,http://10106333.qzone.qq.com,10106333.qzone.qq.com,2,10106333.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
4752,,,1,http://1011538102.qzone.qq.com,1011538102.qzone.qq.com,2,1011538102.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
7675,,,1,http://1011762689.qzone.qq.com,1011762689.qzone.qq.com,2,1011762689.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
4327,,,1,http://1012043425.qzone.qq.com,1012043425.qzone.qq.com,2,1012043425.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
8237,,,1,http://1012426593.qzone.qq.com,1012426593.qzone.qq.com,2,1012426593.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
3940,,,1,http://1012752370.qzone.qq.com,1012752370.qzone.qq.com,2,1012752370.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
5050,,,1,http://1013039475.qzone.qq.com,1013039475.qzone.qq.com,2,1013039475.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
7575,,,1,http://1013368374.qzone.qq.com,1013368374.qzone.qq.com,2,1013368374.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
4242,,,1,http://1013762175.qzone.qq.com,1013762175.qzone.qq.com,2,1013762175.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
8395,,,1,http://1015003692.qzone.qq.com,1015003692.qzone.qq.com,2,1015003692.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
4476,,,1,http://1015656369.qzone.qq.com,1015656369.qzone.qq.com,2,1015656369.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
7297,,,1,http://1016276517.qzone.qq.com,1016276517.qzone.qq.com,2,1016276517.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
6313,,,1,http://1016916283.qzone.qq.com,1016916283.qzone.qq.com,2,1016916283.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
6367,,,1,http://1017219.qzone.qq.com,1017219.qzone.qq.com,2,1017219.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
4459,,,1,http://1017977254.qzone.qq.com,1017977254.qzone.qq.com,2,1017977254.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
32297,,,1,http://102.qq.com,102.qq.com,1,lor.qq.com.sched.p2.tdnsv6.com,203.205.137.78,1,0,80,,OK,,,203.205.136.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,Altdns
6106,,,1,http://1020727393.qzone.qq.com,1020727393.qzone.qq.com,2,1020727393.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
4233,,,1,http://1020761365.qzone.qq.com,1020761365.qzone.qq.com,2,1020761365.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
4118,,,1,http://1021097798.qzone.qq.com,1021097798.qzone.qq.com,2,1021097798.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
4520,,,1,http://1021175477.qzone.qq.com,1021175477.qzone.qq.com,2,1021175477.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
9078,,,1,http://1023655033.qzone.qq.com,1023655033.qzone.qq.com,2,1023655033.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
6331,,,1,http://1023991713.qzone.qq.com,1023991713.qzone.qq.com,2,1023991713.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
7500,,,1,http://1024162911.qzone.qq.com,1024162911.qzone.qq.com,2,1024162911.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
12695,,,1,http://1024655044.qzone.qq.com,1024655044.qzone.qq.com,2,1024655044.qzone.qq.com,182.254.50.155,1,0,80,,OK,,,182.254.50.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国天津天津市,电信,Altdns
9469,,,1,http://1024660101.qzone.qq.com,1024660101.qzone.qq.com,2,1024660101.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
3239,,,1,http://1026955865.qzone.qq.com,1026955865.qzone.qq.com,2,1026955865.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
6543,,,1,http://1027692550.qzone.qq.com,1027692550.qzone.qq.com,2,1027692550.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
4212,,,1,http://1027836243.qzone.qq.com,1027836243.qzone.qq.com,2,1027836243.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
4713,,,1,http://1028688572.qzone.qq.com,1028688572.qzone.qq.com,2,1028688572.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
8567,,,1,http://1029161056.qzone.qq.com,1029161056.qzone.qq.com,2,1029161056.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
5591,,,1,http://1029267028.qzone.qq.com,1029267028.qzone.qq.com,2,1029267028.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
8887,,,1,http://1030535907.qzone.qq.com,1030535907.qzone.qq.com,2,1030535907.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
7720,,,1,http://103058365.qzone.qq.com,103058365.qzone.qq.com,2,103058365.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
9312,,,1,http://1031224644.qzone.qq.com,1031224644.qzone.qq.com,2,1031224644.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
8842,,,1,http://1032149583.qzone.qq.com,1032149583.qzone.qq.com,2,1032149583.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
6308,,,1,http://1033375057.qzone.qq.com,1033375057.qzone.qq.com,2,1033375057.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
4387,,,1,http://1033516344.qzone.qq.com,1033516344.qzone.qq.com,2,1033516344.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
8555,,,1,http://1033804810.qzone.qq.com,1033804810.qzone.qq.com,2,1033804810.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
6681,,,1,http://1034247315.qzone.qq.com,1034247315.qzone.qq.com,2,1034247315.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
7854,,,1,http://10349026.qzone.qq.com,10349026.qzone.qq.com,2,10349026.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
9438,,,1,http://103530224.qzone.qq.com,103530224.qzone.qq.com,2,103530224.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
5212,,,1,http://1035397495.qzone.qq.com,1035397495.qzone.qq.com,2,1035397495.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
3312,,,1,http://1035593081.qzone.qq.com,1035593081.qzone.qq.com,2,1035593081.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
3139,,,1,http://1036261144.qzone.qq.com,1036261144.qzone.qq.com,2,1036261144.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
4779,,,1,http://103644099.qzone.qq.com,103644099.qzone.qq.com,2,103644099.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
7501,,,1,http://103664406.qzone.qq.com,103664406.qzone.qq.com,2,103664406.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
9527,,,1,http://1037582933.qzone.qq.com,1037582933.qzone.qq.com,2,1037582933.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
6109,,,1,http://1037659317.qzone.qq.com,1037659317.qzone.qq.com,2,1037659317.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
6035,,,1,http://103787018.qzone.qq.com,103787018.qzone.qq.com,2,103787018.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
4991,,,1,http://103837756.qzone.qq.com,103837756.qzone.qq.com,2,103837756.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
7338,,,1,http://1038427877.qzone.qq.com,1038427877.qzone.qq.com,2,1038427877.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
7519,,,1,http://103911698.qzone.qq.com,103911698.qzone.qq.com,2,103911698.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
5258,,,1,http://1040271181.qzone.qq.com,1040271181.qzone.qq.com,2,1040271181.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
5943,,,1,http://1041236060.qzone.qq.com,1041236060.qzone.qq.com,2,1041236060.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
9079,,,1,http://1042544518.qzone.qq.com,1042544518.qzone.qq.com,2,1042544518.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
3641,,,1,http://1043153450.qzone.qq.com,1043153450.qzone.qq.com,2,1043153450.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
3793,,,1,http://1043330439.qzone.qq.com,1043330439.qzone.qq.com,2,1043330439.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
8118,,,1,http://104434243.qzone.qq.com,104434243.qzone.qq.com,2,104434243.qzone.qq.com,121.51.142.54,1,0,80,,OK,,,121.51.142.0/23,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国广东省深圳市,电信,RapidDNSQuery
7751,,,1,http://1044465050.qzone.qq.com,1044465050.qzone.qq.com,2,1044465050.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
8150,,,1,http://1045317798.qzone.qq.com,1045317798.qzone.qq.com,2,1045317798.qzone.qq.com,203.205.254.103,1,0,80,,OK,,,203.205.254.0/23,AS132203,Tencent Building Kejizhongyi Avenue,中国香港,腾讯,RapidDNSQuery
